Unnamed: 0,Symbol,Name,Sector,2019-10-04,2019-10-11,2019-10-18,2019-10-25,2019-11-01,2019-11-08,2019-11-15,2019-11-22,2019-11-29,2019-12-06,2019-12-13,2019-12-20,2019-12-27,2020-01-03,2020-01-10,2020-01-17,2020-01-24,2020-01-31,2020-02-07,2020-02-14,2020-02-21,2020-02-28,2020-03-06,2020-03-13,Difference
0,MMM,3M Company,Industrials,155.82,158.1,163.1,166.09,170.09,173.15,171.88,167.6,169.77,171.47,168.79,175.37,177.26,178.45,180.47,181.35,178.15,158.66,160.08,161.01,156.93,149.24,153.65,141.68,14.139999999999986
1,AOS,A.O. Smith Corp,Industrials,45.51,47.99,51.01,51.07,50.28,52.08,50.78,48.2,48.4,46.79,46.52,47.42,47.81,47.35,47.62,46.93,45.43,42.69,41.99,43.93,44.09,39.55,42.69,41.49,4.019999999999996
2,ABT,Abbott Laboratories,Health Care,81.99,79.63,82.79,81.65,82.66,83.74,85.71,83.74,85.45,85.48,86.35,86.66,87.4,85.89,85.36,89.0,90.4,87.14,87.87,89.66,87.45,77.03,81.74,81.65,0.3399999999999892
3,ABBV,AbbVie Inc.,Health Care,74.66,73.63,76.46,76.53,81.75,85.21,88.63,86.05,87.73,86.98,87.84,89.29,89.2,88.7,89.06,88.0,83.54,81.02,92.29,94.05,94.96,85.71,88.82,85.37,-10.710000000000008
4,ACN,Accenture plc,Information Technology,189.64,184.97,187.08,183.07,188.22,189.7,196.81,196.66,201.16,202.55,206.66,211.1,212.22,209.8,207.66,209.2,208.57,205.21,211.58,212.37,211.89,180.59,178.75,166.51,23.129999999999995
5,ATVI,Activision Blizzard,Information Technology,55.44,54.82,54.54,55.26,55.82,54.3,53.44,53.04,54.83,55.21,58.65,59.22,59.185,58.67,58.95,61.24,59.4,58.48,61.53,63.52,63.375,58.13,59.97,59.04,-3.6000000000000014
6,AYI,Acuity Brands Inc,Industrials,121.15,122.02,122.93,124.9,125.99,128.08,128.38,127.31,130.78,133.8,130.8,136.48,137.72,139.63,121.24,123.28,121.49,117.87,117.7,116.9,115.7,102.86,103.05,95.68,25.47
7,ADBE,Adobe Systems Inc,Information Technology,276.96,278.29,265.52,270.98,277.82,292.46,297.5,299.3,309.53,306.23,317.94,327.61,330.79,331.81,339.81,349.74,351.37,351.14,366.09,379.67,372.95,345.12,336.77,335.5,-58.54000000000002
8,AAP,Advance Auto Parts,Consumer Discretionary,159.94,158.56,163.5,165.56,164.82,167.4,162.66,157.87,157.08,154.62,155.21,158.12,158.35,159.42,149.01,151.05,141.68,131.75,132.93,133.59,140.61,132.98,127.91,113.69,46.25
9,AMD,Advanced Micro Devices Inc,Information Technology,29.01,29.75,30.97,32.71,34.89,36.29,38.56,39.15,39.15,39.63,41.15,44.15,46.18,48.6,48.165,50.93,50.35,47.0,49.73,55.31,53.28,45.48,48.59,43.9,-14.889999999999997
10,AES,AES Corp,Utilities,16.03,16.01,16.38,16.8,17.51,17.64,18.45,18.83,18.91,18.72,18.92,19.81,19.98,19.8,20.18,20.5,20.38,19.86,20.5,20.93,20.75,16.73,16.82,13.0,3.030000000000001
12,AMG,Affiliated Managers Group Inc,Financials,76.47,75.97,74.58,77.34,82.15,86.86,85.0,84.41,85.37,85.43,85.11,84.5,84.95,82.95,82.93,85.64,82.91,79.85,81.52,82.9,88.78,75.22,70.49,57.17,19.299999999999997
13,AFL,AFLAC Inc,Financials,52.1,52.44,52.71,53.26,53.61,54.14,54.4,53.99,54.84,52.99,53.17,53.14,52.62,52.98,52.07,53.42,52.39,51.57,52.93,52.81,51.53,42.85,40.78,34.69,17.410000000000004
14,A,Agilent Technologies Inc,Health Care,75.88,75.3,74.57,75.39,76.97,76.64,78.26,79.12,80.77,82.21,83.71,85.19,85.42,84.57,87.59,90.12,88.26,82.56,83.17,85.82,85.07,77.07,78.56,69.2,6.679999999999993
15,APD,Air Products & Chemicals Inc,Materials,213.88,217.29,214.88,213.26,213.56,233.87,240.92,237.6,236.33,232.03,230.74,235.0,235.49,226.0,232.0,237.0,243.95,238.71,249.92,256.01,254.97,219.61,229.71,206.36,7.519999999999982
16,AKAM,Akamai Technologies Inc,Information Technology,90.91,89.55,91.51,89.15,87.5,84.53,87.71,87.97,87.12,85.25,84.69,86.86,86.5,87.24,93.53,95.31,95.52,93.35,96.12,99.67,100.52,86.51,90.62,85.73,5.179999999999993
17,ALK,Alaska Air Group Inc,Industrials,63.51,66.08,66.84,71.57,70.15,71.17,70.38,68.76,69.01,68.32,67.41,69.34,68.29,66.92,65.89,66.62,66.72,64.59,63.96,66.11,65.43,50.46,45.21,37.95,25.559999999999995
18,ALB,Albemarle Corp,Materials,66.32,68.91,67.13,63.59,64.49,67.98,66.14,64.9,65.38,64.3,66.63,70.36,72.01,71.57,72.1,80.9,81.18,80.28,82.54,89.64,92.43,81.85,82.6,68.01,-1.690000000000012
19,ARE,Alexandria Real Estate Equities Inc,Real Estate,154.8,153.97,156.01,158.25,158.42,153.91,158.76,159.67,162.52,161.94,156.47,159.24,160.4,160.64,158.57,162.9,164.66,163.2,167.55,174.93,167.98,151.88,159.06,147.74,7.060000000000002
20,ALXN,Alexion Pharmaceuticals,Health Care,98.03,99.25,98.41,105.18,109.38,110.79,108.37,111.03,113.94,113.89,110.42,109.75,108.55,106.41,109.48,113.27,105.27,99.39,100.56,102.56,103.14,94.03,91.98,80.44,17.590000000000003
21,ALGN,Align Technology,Health Care,181.59,200.16,213.88,243.38,257.04,259.92,263.92,274.4,277.34,275.72,266.06,272.89,277.64,280.44,293.33,280.7,269.98,257.1,258.67,274.95,260.26,218.35,225.17,195.88,-14.289999999999992
22,ALLE,Allegion,Industrials,103.32,101.46,103.95,113.33,118.19,115.65,119.12,119.05,120.03,122.99,123.01,124.2,124.59,123.84,123.43,128.05,128.0,129.32,134.04,138.9,128.58,114.99,119.8,111.81,-8.490000000000009
23,AGN,"Allergan, Plc",Health Care,168.44,169.09,173.6,173.84,178.29,181.28,183.61,183.79,184.94,186.37,188.34,190.3,191.4,191.08,191.83,192.68,188.19,186.64,197.05,198.32,200.15,190.67,191.95,183.85,-15.409999999999997
24,ADS,Alliance Data Systems,Information Technology,123.88,122.55,123.54,104.8,101.06,107.9,103.45,104.41,106.91,105.26,110.05,111.29,110.91,110.38,112.07,112.91,107.4,102.79,105.92,102.83,102.16,85.88,72.61,49.51,74.37
25,LNT,Alliant Energy Corp,Utilities,54.35,53.025,52.98,53.18,53.03,51.68,52.88,53.39,53.0,53.11,52.925,54.95,54.34,53.8,55.07,57.16,58.93,59.36,58.33,59.74,59.14,52.12,57.49,50.9,3.450000000000003
26,ALL,Allstate Corp,Financials,108.46,107.93,108.41,107.24,105.9,108.19,111.1,110.04,111.35,111.1,109.7,111.58,111.87,112.83,113.45,117.55,118.28,118.54,124.43,125.57,123.62,105.25,107.14,92.77,15.689999999999998
27,GOOGL,Alphabet Inc Class A,Information Technology,1210.96,1215.71,1244.41,1264.3,1272.25,1309.0,1333.54,1293.67,1304.09,1339.39,1346.87,1351.22,1354.64,1361.52,1428.96,1479.52,1466.17,1432.78,1479.11,1518.73,1483.46,1339.25,1295.74,1214.27,-3.3099999999999454
28,GOOG,Alphabet Inc Class C,Information Technology,1209.0,1215.45,1245.49,1265.13,1273.74,1311.37,1334.87,1295.34,1304.96,1340.62,1347.83,1349.59,1351.89,1360.66,1429.73,1480.39,1466.71,1434.23,1479.23,1520.74,1485.11,1339.33,1298.41,1219.73,-10.730000000000018
29,MO,Altria Group Inc,Consumer Staples,41.65,42.57,44.33,46.8,45.06,46.41,47.97,49.0,49.7,50.41,50.16,51.13,50.4,49.63,50.22,51.02,50.25,47.53,46.22,45.17,45.89,40.37,42.15,40.07,1.5799999999999983
30,AMZN,Amazon.com Inc.,Consumer Discretionary,1739.65,1731.92,1757.51,1761.33,1791.44,1785.88,1739.49,1745.72,1800.8,1751.6,1760.94,1786.5,1869.8,1874.97,1883.16,1864.72,1861.64,2008.72,2079.28,2134.87,2095.97,1883.75,1901.09,1785.0,-45.34999999999991
31,AEE,Ameren Corp,Utilities,79.53,77.05,76.62,76.59,77.36,73.81,76.62,74.95,74.33,75.19,75.02,76.57,76.3,76.08,77.01,79.75,80.39,82.05,83.6,86.79,85.34,79.0,85.35,76.15,3.3799999999999955
